frame,x,y,z,w,active,r,u,v,ch
1,0,1,4,0,0,4,17,17,0x00
1,0,1,5,0,0,4,22,22,0x00
1,0,1,6,0,0,4,17,17,0x00
1,0,2,2,0,0,4,15,15,0x00
1,0,2,3,0,0,4,31,31,0x00
1,0,2,4,0,0,4,53,52,0x00
1,0,2,5,0,0,3,64,0,0x00
1,0,2,6,0,0,4,53,52,0x00
1,0,2,7,0,0,4,31,31,0x00
1,0,2,8,0,0,4,15,15,0x00
1,0,3,2,0,0,4,31,31,0x00
1,0,3,3,0,0,3,73,0,0x00
1,0,3,4,0,0,3,111,0,0x00
1,0,3,5,0,0,3,125,0,0x00
1,0,3,6,0,0,3,111,0,0x00
1,0,3,7,0,0,3,73,0,0x00
1,0,3,8,0,0,4,31,31,0x00
1,0,4,1,0,0,4,17,17,0x00
1,0,4,2,0,0,4,53,52,0x00
1,0,4,3,0,0,3,111,0,0x00
1,0,4,4,0,0,2,183,11,0x00
1,0,4,5,0,0,2,203,11,0x00
1,0,4,6,0,0,2,183,11,0x00
1,0,4,7,0,0,3,111,0,0x00
1,0,4,8,0,0,4,53,52,0x00
1,0,4,9,0,0,4,17,17,0x00
1,0,5,1,0,0,4,22,22,0x00
1,0,5,2,0,0,3,64,0,0x00
1,0,5,3,0,0,3,125,0,0x00
1,0,5,4,0,0,2,203,11,0x00
1,0,5,5,0,0,2,221,10,0x00
1,0,5,6,0,0,2,203,11,0x00
1,0,5,7,0,0,3,125,0,0x00
1,0,5,8,0,0,3,64,0,0x00
1,0,5,9,0,0,4,22,22,0x00
1,0,6,1,0,0,4,17,17,0x00
1,0,6,2,0,0,4,53,52,0x00
1,0,6,3,0,0,3,111,0,0x00
1,0,6,4,0,0,2,183,11,0x00
1,0,6,5,0,0,2,203,11,0x00
1,0,6,6,0,0,2,183,11,0x00
1,0,6,7,0,0,3,111,0,0x00
1,0,6,8,0,0,4,53,52,0x00
1,0,6,9,0,0,4,17,17,0x00
1,0,7,2,0,0,4,31,31,0x00
1,0,7,3,0,0,3,73,0,0x00
1,0,7,4,0,0,3,111,0,0x00
1,0,7,5,0,0,3,125,0,0x00
1,0,7,6,0,0,3,111,0,0x00
1,0,7,7,0,0,3,73,0,0x00
1,0,7,8,0,0,4,31,31,0x00
1,0,8,2,0,0,4,15,15,0x00
1,0,8,3,0,0,4,31,31,0x00
1,0,8,4,0,0,4,53,52,0x00
1,0,8,5,0,0,3,64,0,0x00
1,0,8,6,0,0,4,53,52,0x00
1,0,8,7,0,0,4,31,31,0x00
1,0,8,8,0,0,4,15,15,0x00
1,0,9,4,0,0,4,17,17,0x00
1,0,9,5,0,0,4,22,22,0x00
1,0,9,6,0,0,4,17,17,0x00
1,1,1,3,0,0,4,20,20,0x00
1,1,1,4,0,0,4,32,31,0x00
1,1,1,5,0,0,4,37,36,0x00
1,1,1,6,0,0,4,32,31,0x00
1,1,1,7,0,0,4,20,20,0x00
1,1,2,2,0,0,4,30,30,0x00
1,1,2,3,0,0,3,64,0,0x00
1,1,2,4,0,0,3,94,0,0x00
1,1,2,5,0,0,3,105,0,0x00
1,1,2,6,0,0,3,94,0,0x00
1,1,2,7,0,0,3,64,0,0x00
1,1,2,8,0,0,4,30,30,0x00
1,1,3,1,0,0,4,20,20,0x00
1,1,3,2,0,0,3,64,0,0x00
1,1,3,3,0,0,3,131,1,0x00
1,1,3,4,0,0,2,195,9,0x00
1,1,3,5,0,0,2,217,12,0x00
1,1,3,6,0,0,2,195,9,0x00
1,1,3,7,0,0,3,131,1,0x00
1,1,3,8,0,0,3,64,0,0x00
1,1,3,9,0,0,4,20,20,0x00
1,1,4,1,0,0,4,32,31,0x00
1,1,4,2,0,0,3,94,0,0x00
1,1,4,3,0,0,2,195,9,0x00
1,1,4,4,0,0,1,267,12,0x00
1,1,4,5,0,0,1,287,12,0x00
1,1,4,6,0,0,1,267,12,0x00
1,1,4,7,0,0,2,195,9,0x00
1,1,4,8,0,0,3,94,0,0x00
1,1,4,9,0,0,4,32,31,0x00
1,1,5,1,0,0,4,37,36,0x00
1,1,5,2,0,0,3,105,0,0x00
1,1,5,3,0,0,2,217,12,0x00
1,1,5,4,0,0,1,287,12,0x00
1,1,5,5,0,0,1,309,10,0x00
1,1,5,6,0,0,1,287,12,0x00
1,1,5,7,0,0,2,217,12,0x00
1,1,5,8,0,0,3,105,0,0x00
1,1,5,9,0,0,4,37,36,0x00
1,1,6,1,0,0,4,32,31,0x00
1,1,6,2,0,0,3,94,0,0x00
1,1,6,3,0,0,2,195,9,0x00
1,1,6,4,0,0,1,267,12,0x00
1,1,6,5,0,0,1,287,12,0x00
1,1,6,6,0,0,1,267,12,0x00
1,1,6,7,0,0,2,195,9,0x00
1,1,6,8,0,0,3,94,0,0x00
1,1,6,9,0,0,4,32,31,0x00
1,1,7,1,0,0,4,20,20,0x00
1,1,7,2,0,0,3,64,0,0x00
1,1,7,3,0,0,3,131,1,0x00
1,1,7,4,0,0,2,195,9,0x00
1,1,7,5,0,0,2,217,12,0x00
1,1,7,6,0,0,2,195,9,0x00
1,1,7,7,0,0,3,131,1,0x00
1,1,7,8,0,0,3,64,0,0x00
1,1,7,9,0,0,4,20,20,0x00
1,1,8,2,0,0,4,30,30,0x00
1,1,8,3,0,0,3,64,0,0x00
1,1,8,4,0,0,3,94,0,0x00
1,1,8,5,0,0,3,105,0,0x00
1,1,8,6,0,0,3,94,0,0x00
